"DATAID","ASSIGNMENT","STRING","STRING","STRING","STRING","STRING","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Group","CG2","Compound","SMILES","Formula","Source","Method","CN (Exp)","RotBFrac","TDB3s","MATS1e","VPC-4","ATSC2e","GATS1p","SPC-5","SHBint4","GATS7m","E3m","nwHBa","SpMax6_Bhp","SRW6","SP-6","AATS3e"
"20","L","Alcohols","","tetradecan-1-ol","CCCCCCCCCCCCCCO","C14H30O","NREL (2014)","CFR","80.8","0.857142857","4.410389463","-0.059660227","0","-0.215022262","1.553858124","0","0","0.934014817","0.028881345","0","2.642867056","5.549076085","0.868718434","7.033645667"
"21","L","Alcohols","Olefins","linoleyl alcohol","CCCCCC=CCC=CCCCCCCCCO","C18H34O","NREL (2014)","Other Ignition Delay Method","44","0.777777778","4.825117196","-0.057730734","0","-0.23819568","1.429212823","0","0","0.99251268","0.102217442","4","2.918268929","5.82008293","1.222271824","7.04908603"
"22","L","Alcohols","","2-ethyl-1-hexanol","CCCCC(CC)CO","C8H18O","NREL (2014)","IQT","23.5","0.625","5.095125513","-0.075768652","0.439748805","-0.150040192","1.595649943","0.594861352","0","0.824004024","0.078159296","0","1.841619796","5.153291594","0.288675135","7.110762909"
"23","V","Alcohols","","Isopentanol ","CC(C)CCO","C5H12O","NREL (2014)","IQT","13.1","0.4","5.72313692","-0.095038736","0.288675135","-0.136576247","1.655711089","0.288675135","0","0","0.025138699","0","1.150329754","4.615120517","0","7.191497128"
"24","V","Alcohols","","1-propanol","CCCO","C3H8O","NREL (2014)","Unknown","12","0.333333333","6.565450043","-0.125909096","0","-0.165161","1.765768429","0","0","0","0.024984594","0","0.399277246","3.610917913","0","7.252551429"
"25","V","Alcohols","","1-butanol","CCCCO","C4H10O","NREL (2014)","IQT","12","0.5","5.528988642","-0.106988175","0","-0.159895289","1.696559902","0","0","0","0.025679622","0","0.399277246","4.043051268","0","7.172949333"
"26","V","Alcohols","Olefins","nerolidol","CC(=CCCC(=CCCC(C)(C=C)O)C)C","C15H26O","Marquardt (2015)","IQT","19.2","0.466666667","7.528281581","-0.066160771","1.113664351","0.194644816","1.347026014","1.844243628","0","1.609047954","0.138055432","6","2.676154989","6.056784013","1.128324628","7.33575828"
"27","V","Alcohols","","1-octanol","CCCCCCCCO","C8H18O","NREL (2014)","CFR","39.1","0.75","4.719696989","-0.075768652","0","-0.173756192","1.595649943","0","0","0.907599483","0.02768136","0","1.745591641","4.919980926","0.338388348","7.071637576"
"28","V","Alcohols","","octan-3-ol","CCCCCC(O)CC","C8H18O","NREL (2014)","IQT","25","0.625","5.658059065","-0.075768652","0.220386538","-0.010208192","1.595649943","0.348461713","0","1.086242324","0.029934403","0","1.718567806","5.117993812","0.348461713","7.205286485"
"29","V","Alcohols","Olefins","linalool","CC(=CCCC(C)(C=C)O)C","C10H18O","NREL (2014)","IQT","16.5","0.4","8.34910597","-0.078351572","0.824989216","0.186990212","1.371673701","1.411230926","0","1.954039742","0.167272654","4","2.20283463","5.693732139","0.624754641","7.442526323"
"30","V","Alcohols","","hexadecan-1-ol","CCCCCCCCCCCCCCCCO","C16H34O","NREL (2014)","Other Ignition Delay Method","68","0.875","4.35873273","-0.056491202","0","-0.229932663","1.546999549","0","0","0.940634836","0.029113019","0","2.818750852","5.693732139","1.045495129","7.027588986"
"31","V","Alcohols","","dodecan-1-ol","CCCCCCCCCCCCO","C12H26O","NREL (2014)","CFR","63.6","0.833333333","4.479005253","-0.063583292","0","-0.200473893","1.563052927","0","0","0.926006609","0.028597447","0","2.412164083","5.379897354","0.691941738","7.04184"
"32","V","Alcohols","","2-methyl-2-butanol","CCC(C)(C)O","C5H12O","Marquardt (2015)","IQT","12.1","0.2","8.647051026","-0.095038736","0.669781157","0.190519753","1.655711089","0.353553391","0","0","0.127108784","0","0.589682269","5.081404365","0","7.635460205"
"33","V","Alcohols","","undecan-1-ol","CCCCCCCCCCCO","C11H24O","NREL (2014)","CFR","53","0.818181818","4.521888278","-0.065946632","0","-0.193406432","1.568932839","0","0","0.921442949","0.028428797","0","2.271611661","5.283203729","0.603553391","7.047126667"
"34","T","Alcohols","Cyclic","cyclopentanol","C1CCC(C1)O","C5H10O","Marquardt (2015)","IQT","9.8","0","6.166533334","-0.100289391","0.182574186","-0.05932625","1.358390875","0.433012702","0","0","0.034913816","0","1.017904928","5.017279837","0","7.314394605"
"35","T","Alcohols","Olefins","geraniol","CC(=CCCC(=CCO)C)C","C10H18O","NREL (2014)","IQT","19.3","0.4","6.453701272","-0.078351572","0.49279928","-0.112470754","1.371673701","0.696923425","0","1.524066778","0.102099957","4","2.208018493","5.442417711","0.563356565","7.200867357"
"36","T","Alcohols","","ethanol","CCO","C2H6O","NREL (2014)","IQT","11","0","6.550266444","-0.160849777","0","-0.184296691","1.907253819","0","0","0","0.023498699","0","0.399277246","2.833213344","0","7.439904"
"37","T","Alcohols","","octadecan-1-ol","CCCCCCCCCCCCCCCCCCO","C18H38O","NREL (2014)","Other Ignition Delay Method","81","0.888888889","4.318506476","-0.053840816","0","-0.245072399","1.54168818","0","0","0.946124106","0.029299586","0","2.953775622","5.82008293","1.222271824","7.02293"
"38","T","Alcohols","","tert-butanol","CC(C)(C)O","C4H10O","NREL (2014)","Blend, IQT","5.6","0","9.370145562","-0.106988175","0","0.190916711","1.696559902","0","0","0","0.139088789","0","0.399277246","4.859812404","0","7.8236928"
"39","T","Alcohols","","4-heptanol","CCCC(CCC)O","C7H16O","NREL (2014)","IQT","21","0.571428571","5.809395208","-0.080567929","0.182574186","-0.004600806","1.609800468","0.552585858","0","0.645071972","0.028077896","0","1.522049418","4.990432587","0.144337567","7.239719439"
"40","T","Alcohols","","2-heptanol","CCCCCC(C)O","C7H16O","NREL (2014)","IQT","25","0.571428571","6.342629392","-0.080567929","0.129099445","-0.004600806","1.609800468","0.204124145","0","1.158252736","0.028620159","0","1.635248664","4.94875989","0.288675135","7.236850175"
