"DATAID","ASSIGNMENT","STRING","STRING","STRING","STRING","STRING","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Group","CG2","Compound","SMILES","Formula","Source","Method","CN (Exp)","RotBFrac","TDB3s","MATS1e","VPC-4","ATSC2e","GATS1p","SPC-5","SHBint4","GATS7m","E3m","nwHBa","SpMax6_Bhp","SRW6","SP-6","AATS3e"
"86","V","Alkanes","","2,3-dimethylpentane","CCC(C)C(C)C","C7H16","NREL (2014)","IQT","22","0.333333333","4.914433682","-0.103896104","1.276142375","-0.001569112","1.642857143","0.707106781","0","0","0.031116974","0","1.546401872","5.056245805","0","7.031563111"
"87","V","Alkanes","","n-dodecane","CCCCCCCCCCCC","C12H26","NREL (2014)","IQT","72.9","0.818181818","4.019865707","-0.058558559","0","-0.086849175","1.583333333","0","0","0.92989418","0.031935752","0","2.394845485","5.283203729","0.603553391","6.96254"
"88","V","Alkanes","","2,4-dimethylpentane","CC(C)CC(C)C","C7H16","NREL (2014)","IQT","28.6","0.333333333","4.845424023","-0.103896104","0.471404521","-0.001569112","1.642857143","0.942809042","0","0","0.129957323","0","1.346550641","4.976733742","0","7.030684741"
"89","V","Alkanes","","2,2,5-trimethylhexane","CC(C)CCC(C)(C)C","C9H20","NREL (2014)","20% Blend, CFR","24","0.375","5.289084591","-0.079365079","1.038675135","0.030935139","1.611111111","0.827350269","0","0","0.100257199","0","2.457539916","5.501258211","0","7.086344333"
"90","V","Alkanes","","9,10-dipropyloctadecane","CCCCCCCCC(CCC)C(CCC)CCCCCCCC","C24H50","NREL (2014)","Unknown","47","0.826086957","4.160255789","-0.028538813","0.942809042","-0.133045201","1.541666667","1.569035594","0","0.964642857","0.120272214","0","3.252782224","6.244166901","1.986502527","6.999124908"
"91","V","Alkanes","","n-octadecane","CCCCCCCCCCCCCCCCCC","C18H38","NREL (2014)","Unknown","106","0.882352941","4.018309125","-0.038383838","0","-0.133463","1.555555556","0","0","0.962163243","0.031625811","0","2.9470839","5.758901774","1.133883476","6.971247451"
"92","V","Alkanes","","n-hexadecane","CCCCCCCCCCCCCCCC","C16H34","NREL (2014)","CFR","100","0.866666667","4.020584211","-0.043367347","0","-0.117859034","1.5625","0","0","0.955325312","0.031704244","0","2.809771602","5.624017506","0.957106781","6.969118963"
"93","V","Alkanes","","5,6-dibutyldecane","CCCCC(CCCC)C(CCCC)CCCC","C18H38","NREL (2014)","Unknown","30","0.764705882","4.213485482","-0.038383838","0.942809042","-0.086031","1.555555556","1.5","0","1.042343513","0.280933178","0","2.885412987","5.978885765","1.690657045","7.003329778"
"94","T","Alkanes","","2,9-dimethyl-5,6-diisopentyldecane","CC(C)CCC(CCC(C)C)C(CCC(C)C)CCC(C)C","C22H46","NREL (2014)","Unknown","48","0.619047619","4.684758373","-0.031207598","2.09750958","-0.022485066","1.545454545","2.10549886","0","1.156757795","0.25643377","0","2.976029649","6.34738921","2.236453999","7.050947556"
"95","T","Alkanes","","7,8-diethyltetradecane","CCCCCCC(CC)C(CC)CCCCCC","C18H38","BioCompoundML (2016)","Unknown","67","0.764705882","4.223704498","-0.038383838","1.040440115","-0.086031","1.555555556","1.609475708","0","0.917262292","0.149933223","0","3.039835612","5.978885765","1.190657045","7.003329778"
"96","T","Alkanes","","2,3,4-trimethylpentane","CC(C)C(C)C(C)C","C8H18","Kubic (2016)","Unknown","14","0.285714286","5.163276456","-0.09","1.821367205","0.014734793","1.625","1.539600718","0","0","0.111504703","0","1.871324488","5.332718793","0","7.063619556"
"97","T","Alkanes","","2,3,3-Trimethylpentane","CCC(C)(C)C(C)C","C8H18","Kubic (2016)","Unknown","17","0.285714286","5.573240853","-0.09","2.937122946","0.038450793","1.625","1.632993162","0","0","0.114629406","0","1.894186476","5.517452896","0","7.102012"
"98","T","Alkanes","","2,2,3-Trimethylpentane","CCC(C)C(C)(C)C","C8H18","Kubic (2016)","Unknown","14","0.285714286","5.283528896","-0.09","2.29489442","0.038450793","1.625","1.717544151","0","0","0.182459747","0","1.983732675","5.493061443","0","7.101635556"
"99","T","Alkanes","","3,4-Dimethylhexane","CCC(C)C(C)CC","C8H18","Kubic (2016)","Unknown","20","0.428571429","4.54102909","-0.09","1.276142375","-0.008981207","1.625","1.138071187","0","0","0.114095573","0","1.897651895","5.209486153","0","7.025603556"
"100","T","Alkanes","","2,4-Dimethylhexane","CCC(C)CC(C)C","C8H18","Kubic (2016)","Unknown","29","0.428571429","4.818247587","-0.09","0.691044062","-0.008981207","1.625","0.902368927","0","0","0.112833698","0","1.894476573","5.141663557","0","7.024850667"
"101","T","Alkanes","","3,3-Diethylpentane","CCC(CC)(CC)CC","C9H20","Kubic (2016)","Unknown","17","0.5","4.762268975","-0.079365079","2.121320344","0.007219139","1.611111111","2.621320344","0","0","0.206855838","0","1.765276817","5.549076085","0","7.055056667"
"102","T","Alkanes","","n-butane","CCCC","C4H10","NREL (2014)","IQT","20.6","0.333333333","3.997985701","-0.192307692","0","-0.028072","1.75","0","0","0","0.033683263","0","0.399277246","3.610917913","0","6.89675037"
"103","T","Alkanes","","2,2-Dimethylpentane","CCCC(C)(C)C","C7H16","Kubic (2016)","Unknown","30","0.333333333","5.254530667","-0.103896104","0.75","0.022146888","1.642857143","1","0","0","0.128029191","0","1.574268049","5.198497031","0","7.075036741"
"104","T","Alkanes","","3-methylhexane","CCCC(C)CC","C7H16","NREL (2014)","IQT","42","0.5","4.333949264","-0.103896104","0.49279928","-0.025285112","1.642857143","0.40824829","0","0","0.130317074","0","1.578932786","4.844187086","0","6.986771926"
"105","T","Alkanes","","2,2-Dimethylhexane","CCCCC(C)(C)C","C8H18","Kubic (2016)","Unknown","40","0.428571429","5.088701391","-0.09","0.75","0.014734793","1.625","0.780330086","0","0","0.11522645","0","1.957099657","5.303304908","0","7.062490222"
"106","T","Alkanes","","2,2-Dimethylheptane","CCCCCC(C)(C)C","C9H20","Kubic (2016)","Unknown","49","0.5","4.961354327","-0.079365079","0.75","0.007219139","1.611111111","0.780330086","0","1.127777778","0.100521262","0","2.271117815","5.398162702","0.375","7.053080333"
"107","L","Alkenes","","ocimene","CC(=CCC=C(C)C=C)C","C10H16","NREL (2014)","IQT","28","0.333333333","6.735351589","-0.064","0.439826406","0.010524852","1.3","0.552585858","0","1.71875","0.107974303","6","2.141516872","5.351858133","0.48570226","7.139111652"
"108","L","Alkenes","","farnesene","CC(=CCCC(=CCC=C(C)C=C)C)C","C15H24","NREL (2014)","IQT","32","0.428571429","6.361577443","-0.042105263","0.72850154","0.008981207","1.3","0.98559856","0","1.578055556","0.085533409","8","2.636524043","5.831882477","1.019165536","7.132312"
"109","V","Alkenes","Alcohols","farnesol","CC(=CCCC(=CCCC(=CCO)C)C)C","C15H26O","NREL (2014)","IQT","24","0.466666667","6.228221634","-0.066160771","0.781474414","-0.107723184","1.347026014","1.129936127","0","1.437718587","0.18144498","6","2.664358189","5.888877958","1.096819841","7.172844368"
"110","T","Alkenes","","2,4-dimethyl-2-heptene","CCCC(C)C=C(C)C","C9H18","NREL (2014)","IQT","27","0.375","5.267093536","-0.076923077","0.451184464","1.26E-15","1.5","1.057677536","0","1.083333333","0.0975995","2","2.173190891","5.252273428","0.23570226","7.058554414"
"111","L","Aromatics","Ethers","dibenzylether","C1=CC=C(C=C1)COCC2=CC=CC=C2","C14H14O","Marquardt (2015)","IQT","8.1","0.25","7.504918099","0.035875696","0.368390572","-0.3987717","1.014483601","1.224744871","0","0.906951283","0.116254248","12","2.694893082","6.089044875","1.337429925","7.3434032"
"112","L","Aromatics","Acetals","benzaldehyde dimethyl acetal","COC(C1=CC=CC=C1)OC","C9H12O2","Marquardt (2015)","IQT","10.4","0.272727273","8.68338097","0.00130677","0.341459132","-0.143304877","1.352946312","1.623773448","0","0.653261998","0.106209211","6","2.042358331","5.739792912","0.686886724","7.601248103"
"113","L","Aromatics","","2,6-dimethylnaphthalene","CC1=CC2=C(C=C1)C=C(C=C2)C","C12H12","NREL (2014)","20% Blend, CFR","-7","0","7.809424978","0.04","0.731125224","0.035574","0.92","2.408503542","0","0.575","0.003977635","10","2.325291784","6.102558595","1.661518793","7.23698816"
"114","L","Aromatics","","tert-butylbenzene","CC(C)(C)C1=CC=CC=C1","C10H14","Creton (2011)","Unknown","-1","0.1","6.810162265","1.62E-14","1.212250449","0.040514833","1.15","2.103152481","0","0","0.067161217","6","2.457539916","5.843544417","0.535074775","7.174207037"
"115","L","Aromatics","Ethers","4-methoxybenzaldehyde","COC1=CC=C(C=C1)C=O","C8H8O2","Marquardt (2015)","IQT","25.8","0.2","11.27595307","-0.016189162","0.297003623","-0.569990469","1.141883175","1.114807748","0","1.319594343","0.01406431","7","1.120749046","5.65248918","0.902368927","7.735429733"
"116","L","Aromatics","","n-hexylbenzene","CCCCCCC1=CC=CC=C1","C12H18","NREL (2014)","Unknown","26","0.416666667","5.070839165","1.59E-14","0.219416097","-0.04648336","1.208333333","0.612372436","0","0.929487179","0.125773102","6","2.377540882","5.666426688","0.823749909","7.038095278"
"117","L","Aromatics","","1-methylnaphthalene","CC1=CC=CC2=CC=CC=C12","C11H10","NREL (2014)","CFR","0","0","7.620083825","0.041322314","0.663675135","0.005001333","0.867768595","2.343625286","0","0","0.002127753","10","2.087473326","5.998936562","1.371433079","7.216437"
"118","L","Aromatics","Olefins","2-phenylundec-2-ene","CC(=CCCCCCCCC)C1=CC=CC=C1","C17H26","Creton (2011)","Unknown","23","0.470588235","5.250812022","9.00E-15","0.49639964","-0.047855271","1.235294118","1.324957911","0","0.919343891","0.064756483","8","2.694893082","6.052089169","1.290855434","7.052649923"
"119","L","Aromatics","","2-octylnaphthalene","CCCCCCCCC1=CC2=CC=CC=C2C=C1","C18H24","NREL (2014)","Unknown","18","0.368421053","5.524667052","0.031007752","0.588754604","-0.039688","1.112403101","2.081788533","0","0.969594595","0.135514877","10","2.846377904","6.29710932","2.297654709","7.077741682"
"120","L","Aromatics","","1,3-xylene","CC1=CC(=CC=C1)C","C8H10","NREL (2014)","IQT","7","0","7.187051679","1.44E-14","0.359116756","0.019324148","1.0625","1.093412989","0","0","0.006478687","6","1.054082095","5.451038454","0.451184464","7.183142667"
"121","L","Aromatics","","2-methyl-2-phenylheptadecane","CCCCCCCCCCCCCCCC(C)(C)C1=CC=CC=C1","C24H42","NREL (2014)","Unknown","39","0.625","4.818207133","-5.70E-14","1.518740702","-0.07056","1.354166667","2.76034625","0","0.917950514","0.086941595","6","3.123171871","6.456769656","1.92140001","7.0435734"
"122","L","Aromatics","","4-isopropyltoluene","CC1=CC=C(C=C1)C(C)C","C10H14","NREL (2014)","20% Blend, CFR","4","0.1","6.637936853","1.61E-14","0.829344624","0.0266805","1.15","1.404193779","0","1.577142857","0.068213799","6","2.146723034","5.733341277","0.919957418","7.146227686"
"123","L","Aromatics","","2-tert-butylnaphthalene","CC(C)(C)C1=CC2=CC=CC=C2C=C1","C14H16","NREL (2014)","Unknown","3","0.066666667","7.346163146","0.036866359","1.584258917","0.059131893","1.002304147","3.432250631","0","1.277608083","0.045546381","10","2.457539916","6.326149473","2.004194281","7.214265915"
"124","L","Aromatics","","n-heptylbenzene","CCCCCCCC1=CC=CC=C1","C13H20","NREL (2014)","Unknown","35","0.461538462","4.959217616","1.44E-14","0.219416097","-0.054422667","1.230769231","0.612372436","0","0.930769231","0.08257188","6","2.539959466","5.733341277","0.91885662","7.032441481"
"125","L","Aromatics","Cyclic","n-octyltetralin","CCCCCCCCC1CCCC2=CC=CC=C12","C18H28","NREL (2014)","Unknown","18","0.368421053","4.845299398","0.033096927","0.881573481","-0.055725875","1.223404255","2.428869017","0","0.90266876","0.118609036","6","2.807372698","6.308098442","2.300084885","7.053785271"
"126","L","Aromatics","","1,2-diphenylethane","C1=CC=C(C=C1)CCC2=CC=CC=C2","C14H14","NREL (2014)","CFR","1","0.2","6.445994438","0.034482759","0.438832194","-0.047432","0.931034483","1.187287393","0","1.021008403","0.041767925","12","2.694893082","6.042632834","1.28445705","7.142286667"
"127","L","Aromatics","","3-ethyl-3-(beta-naphthyl)nonane","C(CCCCCC)(CC)(CC)C2=CC1=CC=CC=C1C=C2","C21H30","NREL (2014)","Unknown","13","0.363636364","5.637362567","0.027472527","2.233352996","0.0093551","1.167582418","5.277875586","0","1.063607925","0.16987637","10","2.985267979","6.599870499","2.859051591","7.108578179"
"128","L","Aromatics","","sec-butylbenzene","CCC(C)C1=CC=CC=C1","C10H14","NREL (2014)","20% Blend, CFR","6","0.2","5.880793501","1.62E-14","0.715203943","-0.006917167","1.15","1.339255651","0","0.525714286","0.124926291","6","1.949104827","5.65248918","0.569035594","7.092895037"
"129","L","Aromatics","","2-methyl-2-(beta-naphthyl)hexane","C(CCCC)(C2=CC1=CC=CC=C1C=C2)(C)C","C17H22","NREL (2014)","Unknown","10","0.222222222","6.360701293","0.032352941","1.89074917","0.038637901","1.089705882","4.110445317","0","0.978706269","0.083333176","10","2.631973148","6.447305863","2.281790284","7.152194"
"130","L","Aromatics","","2-methyl-2-(beta-naphthyl)decane","C(CCCCCCCC)(C2=CC1=CC=CC=C1C=C2)(C)C","C21H30","NREL (2014)","Unknown","18","0.363636364","5.729505215","0.027472527","1.89074917","0.0093551","1.167582418","4.110445317","0","1.054421769","0.119136371","10","2.916152066","6.56667243","2.743210868","7.107870239"
"131","L","Aromatics","","1,3-diethylbenzene","CCC1=CC(=CC=C1)CC","C10H14","NREL (2014)","Blend (Percentage? Method?)","5","0.2","6.061391259","1.62E-14","0.489636154","0.0029645","1.15","1.22850154","0","0.492857143","0.111054295","6","1.762452857","5.65248918","0.745812289","7.099266745"
"132","L","Aromatics","","1-butylnaphthalene","CCCCC1=CC=CC2=CC=CC=C21","C14H16","NREL (2014)","Unknown","6","0.2","6.223905637","0.036866359","0.644752887","-0.012016107","1.002304147","2.428869017","0","1.015117695","0.039587141","10","2.514702028","6.150602768","1.957663321","7.123978535"
"133","L","Aromatics","Cyclic","tert-butyltetralin","CC(C)(C)C1CCCC2=CC=CC=C12","C14H20","NREL (2014)","Unknown","17","0.066666667","5.929954289","0.040816327","2.038385061","0.044970131","1.144897959","4.184341263","0","0.462362637","0.10102697","6","2.457539916","6.336825731","1.828266199","7.157324258"
"134","L","Aromatics","","2-phenylundecane","CCCCCCCCCC(C)C1=CC=CC=C1","C17H28","NREL (2014)","Unknown","51","0.529411765","4.864364971","1.30E-14","0.655417365","-0.062469701","1.294117647","1.324957911","0","0.908432338","0.088922497","6","2.694893082","6.052089169","1.290855434","7.035988308"
"135","L","Aromatics","","7-phenyltridecane","CCCCCCC(CCCCCC)C1=CC=CC=C1","C19H32","NREL (2014)","Unknown","41","0.578947368","4.716049574","4.84E-15","0.617984686","-0.078342127","1.315789474","1.5","0","0.984973086","0.146679276","6","2.865186497","6.154858094","1.743479365","7.029660356"
"136","L","Aromatics","","n-butylbenzene","CCCCC1=CC=CC=C1","C10H14","NREL (2014)","IQT","12","0.3","5.416924269","1.62E-14","0.219416097","-0.030633167","1.15","0.612372436","0","0.903571429","0.068894029","6","1.884504448","5.517452896","0.637136847","7.055056667"
"137","L","Aromatics","","4-phenyldodecane","CCCCCCCCC(CCC)C1=CC=CC=C1","C18H30","NREL (2014)","Unknown","42","0.555555556","4.762406352","7.76E-15","0.617984686","-0.070406875","1.305555556","1.534517797","0","0.946248813","0.104530278","6","2.781998175","6.11146734","1.582506914","7.032692444"
"138","L","Aromatics","Aldehydes","alpha-methyl-trans-cinnamaldehyde","CC(=CC1=CC=CC=C1)C=O","C10H10O","Marquardt (2015)","IQT","19.1","0.181818182","9.124800566","4.70E-16","0.310598349","-0.09073951","0.998312936","1.076406275","0","1.014387328","0.072530454","9","2.016968254","5.700443573","0.713373161","7.323831692"
"139","L","Aromatics","","5-methyl-5-(beta-naphthyl)nonane","C(CCCC)(C2=CC1=CC=CC=C1C=C2)(C)CCCC","C20H28","NREL (2014)","Unknown","12","0.333333333","5.785075678","0.028571429","2.00233392","0.016798833","1.151020408","4.675859074","0","0.979549902","0.154269118","10","2.90162734","6.555356892","2.798662982","7.116937152"
"140","L","Aromatics","Cyclic","1-butyltetralin","CCCCC1CCCC2=CC=CC=C12","C14H20","Creton (2011)","Unknown","18","0.2","5.164065565","0.040816327","0.881573481","-0.026177869","1.144897959","2.428869017","0","0.910714286","0.122893651","6","2.598114447","6.150602768","1.957663321","7.079555914"
"141","L","Aromatics","","n-nonylbenzene","CCCCCCCCCC1=CC=CC=C1","C15H24","NREL (2014)","Unknown","50","0.533333333","4.792130303","1.51E-14","0.219416097","-0.070306012","1.266666667","0.612372436","0","0.935606061","0.120526286","6","2.694893082","5.855071922","1.095633315","7.024217778"
"142","L","Aromatics","","1,2,4-trimethylbenzene ","CC1=CC(C)=C(C)C=C1","C9H12","NREL (2014)","IQT","8.9","0","7.4430874","1.54E-14","0.790402296","0.045012","1.111111111","1.558028605","0","0","0.008941272","6","1.79632726","5.666426688","0.504473335","7.215828718"
"143","L","Aromatics","","2-phenyltetradecane","CCCCCCCCCCCCC(C)C1=CC=CC=C1","C20H34","NREL (2014)","Unknown","49","0.6","4.705717349","-1.93E-14","0.655417365","-0.08627549","1.325","1.324957911","0","0.922987616","0.087374835","6","2.910937966","6.184148891","1.556020477","7.026842583"
"144","L","Aromatics","Cyclic","tetralin","C1CCC2=CC=CC=C2C1","C10H12","NREL (2014)","IQT","8.9","0","5.597246914","0.052173913","0.524377395","-0.022736","1.004347826","1.5","0","0","0.011675371","6","1.704095235","5.84932478","1.140119483","7.101616"
"145","L","Aromatics","","isopropylbenzene","CC(C)C1=CC=CC=C1","C9H12","Creton (2011)","Unknown","15","0.111111111","6.294673139","1.54E-14","0.636894534","0.000968","1.111111111","1.054737854","0","0","0.081505236","6","1.423300117","5.556828062","0.451184464","7.1135048"
"146","L","Aromatics","","2-phenyloctane","CCCCCCC(C)C1=CC=CC=C1","C14H22","NREL (2014)","Unknown","33","0.428571429","5.116652623","1.08E-14","0.655417365","-0.038648296","1.25","1.324957911","0","0.886363636","0.109674742","6","2.548240771","5.899897354","1.018972028","7.050621467"
"147","L","Aromatics","","1,2-dimethylbenzene","CC1=CC=CC=C1C","C8H10","NREL (2014)","CFR","8","0","7.201822968","1.44E-14","0.622008468","0.019324148","1.0625","1.040440115","0","0","0.00649098","6","0.988517196","5.476463552","0.333333333","7.183861333"
"148","L","Aromatics","","2-methyl-2-phenylpentadecane","CCCCCCCCCCCCCC(C)(C)C1=CC=CC=C1","C22H38","Creton (2011)","Unknown","39","0.590909091","4.908321181","-3.98E-14","1.518740702","-0.054704907","1.340909091","2.76034625","0","0.909622541","0.093355016","6","3.005533889","6.391917113","1.744623315","7.049835877"
"149","V","Aromatics","Ethers","1,2-dimethoxybenzene","COC1=CC=CC=C1OC","C8H10O2","Marquardt (2015)","IQT","13.4","0.2","10.35698374","-0.013314072","0.302046416","-0.76065072","1.33686226","1.609475708","0","0","0.010838531","6","1.098634568","5.673323267","0.606493072","7.903723871"
"150","V","Aromatics","","diphenylmethane","C1=CC=C(C=C1)CC2=CC=CC=C2","C13H12","NREL (2014)","Unknown","11","0.142857143","6.875725379","0.035502959","0.390016657","-0.042764691","0.887573964","1.279039102","0","1.098901099","0.106599487","12","2.570473035","5.993961427","1.231484176","7.168132593"
"151","V","Aromatics","","n-dodecylbenzene","CCCCCCCCCCCCC1=CC=CC=C1","C18H30","NREL (2014)","Unknown","68","0.611111111","4.623193738","7.76E-15","0.219416097","-0.094122875","1.305555556","0.612372436","0","0.943369176","0.084391068","6","2.786020098","6.013715156","1.360798358","7.016287778"
"152","V","Aromatics","","n-tetradecylbenzene","CCCCCCCCCCCCCCC1=CC=CC=C1","C20H34","NREL (2014)","Unknown","72","0.65","4.546745118","-1.93E-14","0.219416097","-0.10999149","1.325","0.612372436","0","0.947933227","0.07909585","6","2.932813302","6.107022888","1.537575054","7.012653194"
"153","V","Aromatics","","benzene","C1=CC=CC=C1","C6H6","NREL (2014)","CFR","14.3","0","6.189730262","1.16E-14","0","-0.035574","0.916666667","0","0","0","0.485134243","6","0.842415995","4.890349128","0","7.063996"
"154","V","Aromatics","","toluene","CC1=CC=CC=C1","C7H8","NREL (2014)","IQT","6","0","6.85133114","1.07E-14","0.19245009","-0.007272907","1","0.433012702","0","0","0.003587296","6","0.968689267","5.209486153","0.204124145","7.136807852"
"155","V","Aromatics","","ethyl benzene","CCC1=CC=CC=C1","C8H10","NREL (2014)","IQT","6.3","0.125","6.119633929","1.44E-14","0.253933894","-0.014932296","1.0625","0.594861352","0","0","0.067083535","6","1.122815948","5.342334252","0.348461713","7.088979444"
"156","V","Aromatics","","1,4-dimethylbenzene","CC1=CC=C(C=C1)C","C8H10","NREL (2014)","IQT","6.2","0","7.281055529","1.44E-14","0.384900179","0.019324148","1.0625","0.760079655","0","0","0.006550387","6","1.115520415","5.451038454","0.333333333","7.183142667"
"157","V","Aromatics","","1,3,5-trimethylbenzene","CC1=CC(=CC(=C1)C)C","C9H12","NREL (2014)","80% Blend, IQT","8","0","7.34803474","1.53E-14","0.5","0.045012","1.111111111","1.995781916","0","0","0.008861709","6","2.136283556","5.645446898","0.696923425","7.215220615"
"158","V","Aromatics","","n-propylbenzene","CCCC1=CC=CC=C1","C9H12","NREL (2014)","80% Blend, IQT","16","0.222222222","5.706422343","1.54E-14","0.219416097","-0.022748","1.111111111","0.65464793","0","0.648148148","0.036656448","6","1.540194945","5.433722004","0.49279928","7.068625778"
"159","V","Aromatics","","1,2,4,5-tetramethylbenzene","CC1=C(C(=C(C=C1)C)C)C","C10H14","NREL (2014)","20% Blend, CFR","1","0","7.522039047","1.61E-14","1.369016936","0.070159833","1.15","2.755763801","0","0","0.01176538","6","1.885764433","5.860786223","0.636894534","7.240325511"
"160","V","Aromatics","","naphthalene","C1=CC=C2C=CC=CC2=C1","C10H8O","NREL (2014)","5%7% Blend, CFR","22","0","7.510369353","0.042105263","0.384900179","-0.028107852","0.805263158","1.5","0","0","0.096879164","10","1.283846227","5.84932478","1.140119483","7.188147789"
"161","V","Aromatics","","2-methylnaphthalene","CC1=CC2=CC=CC=C2C=C1","C11H10","NREL (2014)","20% Blend, CFR","6","0","7.68018491","0.041322314","0.558012702","0.005001333","0.867768595","1.954251771","0","0.694214876","0.002213153","10","2.103356564","5.983936281","1.437044285","7.215898"
"162","V","Aromatics","","n-pentylbenzene","CCCCCC1=CC=CC=C1","C11H16","NREL (2014)","Blend","18","0.363636364","5.223809318","9.73E-15","0.219416097","-0.0385507","1.181818182","0.612372436","0","1.130113636","0.092037586","6","2.164717454","5.59471138","0.781474414","7.045364444"
"163","V","Aromatics","","biphenyl","C1=CC=C(C=C1)C2=CC=CC=C2","C12H10","NREL (2014)","5%7% Blend, CFR","12","0.076923077","7.350588256","0.036231884","0.384900179","-0.0392","0.836956522","1.5","0","0.905882353","0.145696173","12","2.339751338","5.958424693","1.178511302","7.176915304"
"164","V","Aromatics","","m-diisopropylbenzene","CC(C)C1=CC(=CC=C1)C(C)C","C12H18","NREL (2014)","CFR","-3","0.166666667","6.309951667","1.60E-14","1.258903002","0.03415104","1.208333333","2.011746865","0","1.006944444","0.108589883","6","2.457539916","5.953243334","1.090334534","7.128572696"
"165","V","Aromatics","","n-octylbenzene","CCCCCCCCC1=CC=CC=C1","C14H22","NREL (2014)","Unknown","37.5","0.5","4.86225634","1.07E-14","0.219416097","-0.062364296","1.25","0.612372436","0","0.933014354","0.082440936","6","2.66935124","5.796057751","1.007244968","7.027918444"
"166","V","Aromatics","","1,3,5-triisopropylbenzene","CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C","C15H24","NREL (2014)","Blend, IQT","2.8","0.2","6.30509126","1.50E-14","1.866025404","0.066517065","1.266666667","2.87944541","0","1.176190476","0.137519359","6","2.503014245","6.23636959","1.941403014","7.135863613"
"167","V","Aromatics","","4-methyl-4-(2-naphthyl)heptane","C(C(CCC)(C)C1=CC=C2C(=C1)C=CC=C2)CC","C18H24","NREL (2014)","Unknown","9","0.263157895","6.07365763","0.031007752","2.00233392","0.03146","1.112403101","4.923750032","0","1.037202381","0.137178509","10","2.894698498","6.49677499","2.472504444","7.138760224"
"168","V","Aromatics","","2-methyl-4-isobutyl-4-phenylundecane","CC(CC(CCCCCCCC)(CC(C)C)C1=CC=CC=C1)C","C22H38 ","NREL (2014)","Unknown","18","0.52173913","5.032100976","-4.32E-14","1.908838708","-0.015201185","1.347826087","4.856908992","0","1.052783669","0.231411168","6","3.052002245","6.535241271","2.52849562","7.075106386"
"169","V","Aromatics","","1,2,4-trimethyl-5-hexadecyl benzene","C1(=C(C=C(C=C1C)C)CCCCCCCCCCCCCCCC)C","C25H44","NREL (2014)","Unknown","42","0.6","4.875155151","-7.12E-14","1.089360645","-0.052707204","1.36","2.748157196","0","0.904793388","0.101768228","6","3.112973331","6.478509642","2.274003828","7.048272111"
"170","V","Aromatics","Esters","dibutyl phthalate","CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC","C16H22O4","BioCompoundML (2016)","Unknown","38","0.5","8.302151612","-0.002763114","0.505391335","1.358308209","1.352593675","3.098141575","0","1.309287811","0.121386864","8","2.746263827","6.333279628","2.075091973","7.525753892"
"171","T","Aromatics","Esters","dihexyl phthalate","CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC","C20H30O4","BioCompoundML (2016)","Unknown","48","0.583333333","7.111047477","0.00832471","0.505391335","1.492128307","1.380565916","3.098141575","0","1.213608487","0.112824576","8","2.973823674","6.466144724","2.336063014","7.375462884"
"172","T","Aromatics","Esters","dimethyl phthalate","COC(=O)C1=CC=CC=C1C(=O)OC","C10H10O4","BioCompoundML (2016)","Unknown","19","0.285714286","13.5727075","-0.047214603","0.529799103","0.481909722","1.2753726","3.096153151","0","1.410601288","0.155697194","8","2.275994161","6.09356977","1.280271076","7.943115487"
"173","T","Aromatics","Ethers","anisole","COC1=CC=CC=C1","C7H8O","NREL (2014)","IQT","6","0.125","8.356596557","0.018247751","0.146608802","-0.305412937","1.160356841","0.594861352","0","0","0.01390499","6","1.093305913","5.342334252","0.348461713","7.542913692"
"174","T","Aromatics","Ethers","4-methylanisole","CC1=CC=C(C=C1)OC","C8H10O","NREL (2014)","IQT","7.4","0.111111111","8.521504328","0.029024504","0.339058892","-0.22507138","1.200816897","0.937443702","0","1.716633969","0.012040829","6","1.12074217","5.556828062","0.686886724","7.514551625"
"175","T","Aromatics","Ethers","guaiacol","COC1=CC=CC=C1O","C7H8O2","NREL (2014)","IQT","19.3","0.111111111","12.73419987","-0.111194117","0.254207174","-0.440785702","1.109940053","1.408291245","0","0","0.012094476","6","1.094269923","5.579729826","0.469913203","7.957742"
"176","T","Aromatics","Ethers","4-propylanisole","CCCC1=CC=C(C=C1)OC","C10H14O","NREL (2014)","IQT","7.5","0.272727273","6.885466165","0.041425575","0.366024899","-0.188106765","1.258739615","1.174594326","0","1.179895913","0.089811243","6","2.150050663","5.720311777","0.971404521","7.3172"
"177","T","Aromatics","Alcohols","2-phenylethanol","C1=CC=C(C=C1)CCO","C8H10O","NREL (2014)","IQT","8","0.222222222","7.168583802","-0.1053516","0.219416097","-0.225141695","1.02008169","0.65464793","0","0.817192372","0.114806445","6","1.203770011","5.433722004","0.49279928","7.286653333"
"178","T","Aromatics","Ethers","4-methylguaiacol","CC1=CC(=C(C=C1)O)OC","C8H10O2","NREL (2014)","IQT","19.8","0.1","11.95094987","-0.087602732","0.429207644","-0.30568872","1.158834537","1.837206481","0","0","0.00424661","6","1.445353431","5.752572639","0.587806669","7.857843294"
